var,dias,trt,pl,categ,cont,prop,tree_id
A,3,0,2,0,25,0.36231884057971,A.0.3.2
A,3,0,2,1,0,0,A.0.3.2
A,3,0,2,2,0,0,A.0.3.2
A,3,0,2,3,0,0,A.0.3.2
A,3,0,2,4,0,0,A.0.3.2
A,3,0,2,5,0,0,A.0.3.2
A,3,0,3,0,22,0.318840579710145,A.0.3.3
A,3,0,3,1,0,0,A.0.3.3
A,3,0,3,2,0,0,A.0.3.3
A,3,0,3,3,0,0,A.0.3.3
A,3,0,3,4,0,0,A.0.3.3
A,3,0,3,5,0,0,A.0.3.3
A,3,1,1,0,19,0.358490566037736,A.1.3.1
A,3,1,1,1,0,0,A.1.3.1
A,3,1,1,2,0,0,A.1.3.1
A,3,1,1,3,0,0,A.1.3.1
A,3,1,1,4,0,0,A.1.3.1
A,3,1,1,5,0,0,A.1.3.1
A,3,1,2,0,17,0.320754716981132,A.1.3.2
A,3,1,2,1,0,0,A.1.3.2
A,3,1,2,2,0,0,A.1.3.2
A,3,1,2,3,0,0,A.1.3.2
A,3,1,2,4,0,0,A.1.3.2
A,3,1,2,5,0,0,A.1.3.2
A,3,1,3,0,17,0.320754716981132,A.1.3.3
A,3,1,3,1,0,0,A.1.3.3
A,3,1,3,2,0,0,A.1.3.3
A,3,1,3,3,0,0,A.1.3.3
A,3,1,3,4,0,0,A.1.3.3
A,3,1,3,5,0,0,A.1.3.3
A,3,2,1,0,18,0.257142857142857,A.2.3.1
A,3,2,1,1,0,0,A.2.3.1
A,3,2,1,2,0,0,A.2.3.1
A,3,2,1,3,0,0,A.2.3.1
A,3,2,1,4,0,0,A.2.3.1
A,3,2,1,5,0,0,A.2.3.1
A,3,2,2,0,19,0.271428571428571,A.2.3.2
A,3,2,2,1,0,0,A.2.3.2
A,3,2,2,2,0,0,A.2.3.2
A,3,2,2,3,0,0,A.2.3.2
A,3,2,2,4,0,0,A.2.3.2
A,3,2,2,5,0,0,A.2.3.2
A,3,2,3,0,33,0.471428571428571,A.2.3.3
A,3,2,3,1,0,0,A.2.3.3
A,3,2,3,2,0,0,A.2.3.3
A,3,2,3,3,0,0,A.2.3.3
A,3,2,3,4,0,0,A.2.3.3
A,3,2,3,5,0,0,A.2.3.3
A,3,3,1,0,16,0.347826086956522,A.3.3.1
A,3,3,1,1,0,0,A.3.3.1
A,3,3,1,2,0,0,A.3.3.1
A,3,3,1,3,0,0,A.3.3.1
A,3,3,1,4,0,0,A.3.3.1
A,3,3,1,5,0,0,A.3.3.1
A,3,3,2,0,9,0.195652173913043,A.3.3.2
A,3,3,2,1,0,0,A.3.3.2
A,3,3,2,2,0,0,A.3.3.2
A,3,3,2,3,0,0,A.3.3.2
A,3,3,2,4,0,0,A.3.3.2
A,3,3,2,5,0,0,A.3.3.2
A,3,3,3,0,21,0.456521739130435,A.3.3.3
A,3,3,3,1,0,0,A.3.3.3
A,3,3,3,2,0,0,A.3.3.3
A,3,3,3,3,0,0,A.3.3.3
A,3,3,3,4,0,0,A.3.3.3
A,3,3,3,5,0,0,A.3.3.3
A,3,4,1,0,11,0.154929577464789,A.4.3.1
A,3,4,1,1,2,0.028169014084507,A.4.3.1
A,3,4,1,2,2,0.028169014084507,A.4.3.1
A,3,4,1,3,0,0,A.4.3.1
A,3,4,1,4,0,0,A.4.3.1
A,3,4,1,5,0,0,A.4.3.1
A,3,4,2,0,33,0.464788732394366,A.4.3.2
A,3,4,2,1,0,0,A.4.3.2
A,3,4,2,2,0,0,A.4.3.2
A,3,4,2,3,0,0,A.4.3.2
A,3,4,2,4,0,0,A.4.3.2
A,3,4,2,5,0,0,A.4.3.2
A,3,4,3,0,23,0.323943661971831,A.4.3.3
A,3,4,3,1,0,0,A.4.3.3
A,3,4,3,2,0,0,A.4.3.3
A,3,4,3,3,0,0,A.4.3.3
A,3,4,3,4,0,0,A.4.3.3
A,3,4,3,5,0,0,A.4.3.3
